iter	RMSE
0	2.377998036
1	2.237343545
2	2.106781793
3	1.98291185
4	1.868196126
5	1.759211951
6	1.655049223
7	1.558833938
8	1.468071979
9	1.382672719
10	1.302860087
11	1.227990326
12	1.157855627
13	1.092490507
14	1.03118562
15	0.9737056837
16	0.9191919115
17	0.8688669536
18	0.821914671
19	0.7766442807
20	0.7348744497
21	0.6962960865
22	0.6595389328
23	0.6256742281
24	0.5932454417
25	0.562898906
26	0.5355115318
27	0.5098496829
28	0.4858137431
29	0.4636640927
30	0.443318519
31	0.4244561528
32	0.4068217131
33	0.3914658205
34	0.376402385
35	0.3622447995
36	0.3494060786
37	0.3374348103
38	0.3268133018
39	0.316900772
40	0.307698385
41	0.2996910005
42	0.292058244
43	0.2850539274
44	0.2789542596
45	0.2731010727
46	0.2675954981
47	0.2623100026
48	0.2574294737
49	0.2530202674
50	0.2493987633
51	0.2460083788
52	0.2428182078
53	0.2396866531
54	0.2371412642
55	0.2349777858
56	0.2327269491
57	0.2304416289
58	0.2286189935
59	0.2267825468
60	0.2252079659
61	0.2234994081
62	0.2219056503
63	0.2206688351
64	0.2194009661
65	0.2182226585
66	0.2173165464
67	0.2163357518
68	0.2154193463
69	0.2147368218
70	0.2137854168
71	0.212978084
72	0.2124995776
73	0.2119672971
74	0.2113360338
75	0.2108455242
76	0.2101781109
77	0.2096465581
78	0.2090483018
79	0.2085732727
80	0.2080524299
81	0.2074610582
82	0.2072024981
83	0.2067078186
84	0.2060718903
85	0.2057047179
86	0.204975491
87	0.2046844887
88	0.2044687402
89	0.2041881388
90	0.2038050288
91	0.2031471935
92	0.2028118259
93	0.2023922007
94	0.2019697517
95	0.2016672981
96	0.2012022576
97	0.200947653
98	0.2004816836
99	0.2001018441
100	0.1999015215
101	0.1997688932
102	0.1994719492
103	0.1993381856
104	0.1988286969
105	0.1984487899
106	0.1982119941
107	0.1977362274
108	0.1973497141
109	0.196834254
110	0.1965482438
111	0.1962315783
112	0.1958632063
113	0.1955732513
114	0.1952934793
115	0.1949959713
116	0.1947508165
117	0.1943847877
118	0.1940251961
119	0.1935760501
120	0.1934346043
121	0.1933136502
122	0.1929931489
123	0.1927991685
124	0.1926417809
125	0.1925313373
126	0.1924270813
127	0.1921597562
128	0.1917610857
129	0.1915618264
130	0.191213263
131	0.1909611843
132	0.190779593
133	0.1904242432
134	0.1903055189
135	0.189882831
136	0.1897653962
137	0.1892394525
138	0.1891352112
139	0.1888852999
140	0.1887551035
141	0.1885040785
142	0.18818511
143	0.1881113406
144	0.1879042939
145	0.1876814441
146	0.1873563714
147	0.187206562
148	0.1870778431
149	0.1868016205
150	0.1865547294
151	0.18632059
152	0.1860610355
153	0.1858164425
154	0.1857356779
155	0.1856291542
156	0.1855280238
157	0.1852347406
158	0.1850767902
159	0.184890572
160	0.1847778594
161	0.1846902876
162	0.1844806751
163	0.1843033418
164	0.1840735144
165	0.1838370481
166	0.1835372347
167	0.1832858984
168	0.1831138232
169	0.1830135016
170	0.1829249736
171	0.1827318112
172	0.1825713287
173	0.1823692594
174	0.1821175785
175	0.1819766019
176	0.1818789175
177	0.1816719933
178	0.181473507
179	0.1813492083
180	0.1810902655
181	0.1809289098
182	0.1807990759
183	0.1806653963
184	0.1805722421
185	0.1804519143
186	0.1802926534
187	0.1799422184
188	0.1797636109
189	0.1796195914
190	0.1794796187
191	0.179385724
192	0.1791913038
193	0.1790927389
194	0.179022949
195	0.1787619106
196	0.1787021661
197	0.1784701988
198	0.1781806972
199	0.1779953707
200	0.1778253838
201	0.1776786762
202	0.1776345511
203	0.1774851153
204	0.1773465297
205	0.177229009
206	0.1770151965
207	0.1769710033
208	0.1768527002
209	0.1767462752
210	0.1766068551
211	0.1763195198
212	0.1761951072
213	0.1760948223
214	0.1759238505
215	0.1756927181
216	0.1754720181
217	0.1753700091
218	0.1752223024
219	0.1750310378
220	0.174894014
221	0.1747490216
222	0.1746488309
223	0.1746131473
224	0.1745039533
225	0.1743186451
226	0.1742078334
227	0.1741124341
228	0.1740103545
229	0.1739791986
230	0.1739030206
231	0.1736832464
232	0.1735280784
233	0.17336038
234	0.1731831582
235	0.1730736268
236	0.1730392832
237	0.1729484327
238	0.172734893
239	0.1727100972
240	0.1726280949
241	0.1725186178
242	0.1723683439
243	0.1722257887
244	0.1721484656
245	0.1720794606
246	0.1720111669
247	0.1719526565
248	0.1718557062
249	0.1717291978
250	0.1716782209
251	0.1715513491
252	0.1714555112
253	0.171361351
254	0.1712767681
255	0.1711972497
256	0.1710080002
257	0.1708953073
258	0.1707292017
259	0.1707014875
260	0.1705858964
261	0.1704487029
262	0.170359095
263	0.1702601776
264	0.1701216998
265	0.170007222
266	0.1698638642
267	0.1697116905
268	0.1696521725
269	0.1695849224
270	0.1695175857
271	0.1694051225
272	0.1692877681
273	0.169167208
274	0.169092785
275	0.1688950913
276	0.1687794229
277	0.1686697302
278	0.1685974457
279	0.1685005425
280	0.1684436722
281	0.1683356543
282	0.1681591491
283	0.1680289154
284	0.167828167
285	0.1678078536
286	0.1677244503
287	0.1676433866
288	0.1674689677
289	0.1673710973
290	0.1672815995
291	0.1672071859
292	0.1671840251
293	0.1670377225
294	0.1669518593
295	0.166793589
296	0.1666982532
297	0.1665269548
298	0.1664483571
299	0.1664026118
300	0.1663253783
301	0.166192557
302	0.1661335606
303	0.1660770345
304	0.1659873439
305	0.1658552081
306	0.1658191486
307	0.1657093133
308	0.1655648377
309	0.1654865273
310	0.1654305605
311	0.1653717542
312	0.1652465945
313	0.1651727878
314	0.1650751374
315	0.1650191815
316	0.1649008406
317	0.1647873943
318	0.1647400627
319	0.1645100827
320	0.1643028274
321	0.1642160816
322	0.1641273313
323	0.1640679559
324	0.1639722757
325	0.1638910535
326	0.163851424
327	0.1637743024
328	0.163749665
329	0.1636675001
330	0.1635831663
331	0.1634966067
332	0.1634268524
333	0.1633562786
334	0.1632937102
335	0.1632356577
336	0.1631778011
337	0.1631106388
338	0.1630113811
339	0.1629649876
340	0.1628444095
341	0.1627511994
342	0.162666814
343	0.1625474441
344	0.162416845
345	0.1622971107
346	0.1622318332
347	0.1621674723
348	0.1620699961
349	0.1619435395
350	0.1618479331
351	0.1617705217
352	0.1616567586
353	0.1616159728
354	0.1615666274
355	0.1614935911
356	0.1613912503
357	0.1613326195
358	0.1612773521
359	0.1611936673
360	0.1611240378
361	0.1610928836
362	0.1609861692
363	0.1608975767
364	0.160824537
365	0.1607709424
366	0.1607097502
367	0.1606686173
368	0.160599476
369	0.1605068512
370	0.1604536243
371	0.1604178753
372	0.1603983696
373	0.1603778821
374	0.1602951962
375	0.1602207114
376	0.1601806263
377	0.1601269253
378	0.1600639706
379	0.1600123114
380	0.159994013
381	0.1599211706
382	0.159845056
383	0.1597916663
384	0.1597174376
385	0.1596489678
386	0.1596040013
387	0.1595362998
388	0.1594818787
389	0.1594459594
390	0.1593667106
391	0.1593261199
392	0.1592733818
393	0.1592562951
394	0.1592030549
395	0.1591049329
396	0.1590412239
397	0.1589476234
398	0.1589081658
399	0.1588918621
400	0.1588436487
401	0.1587475976
402	0.1586996136
403	0.1586513242
404	0.1585972141
405	0.1585365496
406	0.158452693
407	0.1584260715
408	0.1583643439
409	0.1583204011
410	0.1582591628
411	0.1581718293
