iter	Passed	Remaining
0	165	164922
1	173	86416
2	181	60174
3	188	47003
4	196	39010
5	203	33683
6	210	29851
7	217	26982
8	224	24742
9	230	22841
10	236	21304
11	243	20074
12	249	18921
13	256	18062
14	262	17213
15	268	16522
16	275	15930
17	282	15387
18	288	14912
19	295	14465
20	300	14020
21	306	13626
22	313	13313
23	319	12985
24	325	12699
25	332	12446
26	337	12165
27	343	11928
28	349	11699
29	354	11472
30	359	11235
31	363	10987
32	366	10749
33	369	10511
34	373	10295
35	376	10078
36	379	9880
37	382	9687
38	386	9513
39	389	9357
40	394	9226
41	398	9078
42	401	8935
43	404	8794
44	408	8663
45	411	8535
46	414	8410
47	418	8296
48	421	8186
49	425	8079
50	428	7970
51	431	7867
52	434	7771
53	438	7678
54	441	7592
55	445	7503
56	448	7415
57	451	7332
58	454	7252
59	458	7176
60	461	7103
61	464	7032
62	467	6960
63	471	6896
64	475	6833
65	478	6774
66	482	6714
67	485	6653
68	488	6593
69	492	6540
70	495	6484
71	499	6438
72	503	6388
73	506	6341
74	510	6292
75	513	6247
76	517	6204
77	521	6158
78	524	6113
79	528	6072
80	531	6029
81	534	5989
82	538	5952
83	542	5912
84	546	5883
85	550	5845
86	554	5815
87	558	5785
88	561	5748
89	565	5717
90	568	5680
91	572	5648
92	575	5613
93	579	5587
94	583	5561
95	587	5533
96	590	5501
97	594	5471
98	597	5442
99	601	5410
100	604	5380
101	607	5349
102	610	5320
103	614	5293
104	617	5265
105	621	5239
106	624	5212
107	627	5185
108	631	5159
109	634	5133
110	637	5108
111	641	5085
112	645	5064
113	648	5039
114	652	5018
115	655	4995
116	659	4975
117	662	4951
118	665	4927
119	668	4902
120	671	4878
121	674	4855
122	678	4836
123	681	4815
124	685	4796
125	688	4775
126	691	4754
127	694	4730
128	697	4708
129	700	4687
130	703	4666
131	706	4645
132	709	4623
133	712	4604
134	715	4583
135	718	4565
136	721	4544
137	724	4526
138	727	4507
139	730	4488
140	733	4469
141	736	4450
142	739	4432
143	742	4412
144	745	4395
145	748	4376
146	751	4360
147	754	4342
148	757	4325
149	760	4308
150	763	4291
151	766	4276
152	769	4260
153	773	4246
154	776	4231
155	779	4216
156	782	4200
157	785	4185
158	788	4168
159	791	4153
160	794	4138
161	797	4123
162	800	4108
163	802	4092
164	806	4081
165	810	4072
166	814	4061
167	818	4052
168	821	4041
169	825	4029
170	828	4016
171	831	4003
172	834	3990
173	837	3977
174	841	3964
175	844	3952
176	847	3939
177	850	3925
178	853	3913
179	856	3901
180	859	3890
181	862	3878
182	866	3866
183	869	3854
184	872	3842
185	875	3830
186	878	3818
187	881	3805
188	884	3795
189	887	3785
190	891	3776
191	894	3766
192	898	3756
193	901	3744
194	904	3733
195	907	3721
196	909	3708
197	912	3697
198	915	3685
199	918	3674
200	921	3662
201	924	3650
202	927	3639
203	929	3628
204	932	3617
205	935	3606
206	938	3595
207	941	3585
208	944	3575
209	947	3564
210	950	3553
211	953	3544
212	956	3534
213	960	3526
214	963	3516
215	966	3507
216	969	3496
217	972	3488
218	975	3478
219	978	3469
220	981	3459
221	984	3450
222	987	3441
223	990	3431
224	993	3422
225	996	3412
226	999	3403
227	1002	3393
228	1005	3384
229	1007	3374
230	1010	3364
231	1014	3358
232	1017	3350
233	1020	3341
234	1024	3333
235	1027	3326
236	1030	3317
237	1033	3309
238	1036	3300
239	1039	3291
240	1042	3282
241	1045	3274
242	1048	3265
243	1050	3256
244	1053	3247
245	1056	3238
246	1059	3229
247	1062	3221
248	1065	3212
249	1068	3204
250	1071	3196
251	1073	3187
252	1077	3180
253	1079	3171
254	1082	3162
255	1085	3154
256	1088	3146
257	1091	3139
258	1094	3131
259	1097	3122
260	1100	3114
261	1103	3106
262	1105	3099
263	1108	3091
264	1111	3083
265	1114	3075
266	1117	3068
267	1120	3061
268	1124	3054
269	1127	3047
270	1129	3039
271	1133	3032
272	1136	3027
273	1140	3022
274	1144	3018
275	1148	3012
276	1151	3005
277	1154	2999
278	1158	2993
279	1161	2987
280	1165	2982
281	1168	2975
282	1172	2969
283	1175	2964
284	1179	2960
285	1183	2954
286	1186	2947
287	1189	2941
288	1192	2934
289	1195	2927
290	1199	2922
291	1203	2917
292	1207	2912
293	1211	2909
294	1215	2904
295	1219	2899
296	1222	2893
297	1226	2888
298	1229	2882
299	1233	2877
300	1236	2871
301	1239	2865
302	1243	2860
303	1246	2854
304	1250	2849
305	1254	2844
306	1257	2839
307	1261	2833
308	1264	2827
309	1267	2821
310	1270	2815
311	1274	2810
312	1277	2804
313	1281	2799
314	1284	2794
315	1288	2788
316	1291	2781
317	1294	2776
318	1297	2770
319	1300	2764
320	1303	2757
321	1306	2750
322	1309	2744
323	1312	2739
324	1315	2733
325	1318	2726
326	1321	2720
327	1324	2714
328	1327	2707
329	1330	2701
330	1333	2695
331	1337	2690
332	1339	2684
333	1343	2679
334	1347	2674
335	1350	2668
336	1353	2662
337	1356	2656
338	1360	2652
339	1363	2646
340	1367	2641
341	1370	2636
342	1373	2630
343	1376	2625
344	1379	2619
345	1382	2613
346	1385	2606
347	1388	2600
348	1390	2594
349	1394	2590
350	1397	2584
351	1400	2578
352	1404	2573
353	1407	2568
354	1410	2562
355	1413	2557
356	1416	2551
357	1419	2545
358	1422	2539
359	1425	2534
360	1428	2529
361	1432	2523
362	1435	2518
363	1438	2514
364	1443	2510
365	1446	2505
366	1449	2500
367	1453	2495
368	1457	2492
369	1460	2487
370	1464	2482
371	1468	2478
372	1471	2473
373	1474	2467
374	1477	2462
375	1480	2456
376	1482	2450
377	1485	2444
378	1488	2439
379	1491	2433
380	1494	2427
381	1496	2421
382	1499	2415
383	1502	2410
384	1506	2405
385	1509	2400
386	1512	2395
387	1515	2390
388	1518	2385
389	1521	2380
390	1524	2375
391	1527	2369
392	1530	2364
393	1533	2359
394	1537	2354
395	1540	2349
396	1543	2344
397	1546	2339
398	1550	2334
399	1553	2330
400	1556	2324
401	1559	2319
402	1562	2314
403	1565	2309
404	1569	2305
405	1572	2299
406	1575	2294
407	1577	2289
408	1581	2284
409	1584	2279
410	1587	2274
411	1590	2269
412	1593	2264
413	1596	2260
414	1600	2256
415	1603	2251
416	1607	2246
417	1610	2242
418	1613	2236
419	1615	2231
420	1618	2226
421	1621	2220
422	1624	2215
423	1627	2210
424	1630	2205
425	1633	2200
426	1636	2195
427	1638	2190
428	1641	2185
429	1644	2179
430	1647	2175
431	1651	2170
432	1654	2166
433	1657	2161
434	1660	2156
435	1662	2151
436	1665	2146
437	1668	2140
438	1671	2135
439	1673	2130
440	1676	2125
441	1679	2120
442	1682	2115
443	1685	2110
444	1688	2105
445	1691	2100
446	1694	2095
447	1696	2090
448	1699	2086
449	1702	2081
450	1705	2075
451	1708	2070
452	1711	2066
453	1713	2061
454	1716	2056
455	1719	2051
456	1722	2046
457	1725	2041
458	1728	2037
459	1732	2033
460	1735	2028
461	1738	2024
462	1741	2020
463	1744	2015
464	1747	2010
465	1750	2006
466	1753	2001
467	1757	1997
468	1761	1994
469	1765	1990
470	1768	1985
471	1771	1982
472	1775	1977
473	1778	1973
474	1781	1968
475	1784	1964
476	1787	1959
477	1789	1954
478	1792	1949
479	1795	1944
480	1798	1940
481	1801	1935
482	1803	1930
483	1806	1925
484	1809	1921
485	1811	1916
486	1814	1911
487	1817	1906
488	1819	1901
489	1822	1896
490	1825	1892
491	1827	1887
492	1830	1882
493	1833	1878
494	1836	1873
495	1839	1869
496	1842	1864
497	1846	1860
498	1849	1857
499	1853	1853
500	1857	1849
501	1860	1845
502	1863	1841
503	1867	1837
504	1870	1833
505	1874	1829
506	1877	1825
507	1881	1822
508	1884	1818
509	1888	1814
510	1891	1810
511	1895	1806
512	1898	1802
513	1902	1798
514	1905	1794
515	1909	1790
516	1912	1786
517	1916	1782
518	1919	1778
519	1922	1774
520	1925	1770
521	1929	1766
522	1932	1762
523	1936	1758
524	1939	1754
525	1942	1750
526	1946	1746
527	1949	1742
528	1952	1738
529	1955	1733
530	1958	1729
531	1961	1725
532	1964	1720
533	1967	1716
534	1969	1712
535	1972	1707
536	1975	1703
537	1978	1698
538	1981	1694
539	1983	1689
540	1986	1685
541	1989	1681
542	1992	1676
543	1996	1673
544	1999	1669
545	2003	1665
546	2006	1661
547	2009	1657
548	2012	1653
549	2015	1649
550	2018	1644
551	2021	1640
552	2024	1636
553	2027	1632
554	2030	1628
555	2033	1624
556	2036	1619
557	2039	1615
558	2042	1611
559	2045	1606
560	2048	1602
561	2050	1598
562	2053	1594
563	2057	1590
564	2061	1586
565	2063	1582
566	2066	1578
567	2069	1574
568	2072	1570
569	2075	1565
570	2078	1561
571	2081	1557
572	2084	1553
573	2086	1548
574	2089	1544
575	2092	1540
576	2095	1536
577	2098	1532
578	2101	1528
579	2104	1524
580	2107	1519
581	2110	1515
582	2113	1511
583	2115	1507
584	2118	1503
585	2121	1499
586	2124	1494
587	2127	1490
588	2130	1486
589	2133	1482
590	2136	1478
591	2139	1474
592	2141	1469
593	2144	1465
594	2148	1462
595	2151	1458
596	2154	1454
597	2157	1450
598	2159	1445
599	2162	1441
600	2165	1437
601	2168	1433
602	2171	1429
603	2174	1425
604	2177	1421
605	2180	1417
606	2183	1413
607	2186	1410
608	2190	1406
609	2192	1401
610	2195	1397
611	2198	1393
612	2201	1389
613	2203	1385
614	2206	1381
615	2209	1377
616	2212	1373
617	2215	1369
618	2218	1365
619	2221	1361
620	2224	1357
621	2227	1353
622	2230	1349
623	2233	1346
624	2236	1342
625	2240	1338
626	2243	1334
627	2246	1330
628	2249	1326
629	2252	1322
630	2255	1318
631	2258	1314
632	2261	1310
633	2264	1307
634	2267	1303
635	2270	1299
636	2273	1295
637	2276	1291
638	2279	1287
639	2282	1283
640	2284	1279
641	2287	1275
642	2290	1271
643	2293	1267
644	2296	1264
645	2299	1260
646	2302	1256
647	2305	1252
648	2308	1248
649	2310	1244
650	2313	1240
651	2316	1236
652	2320	1232
653	2323	1229
654	2326	1225
655	2330	1221
656	2333	1218
657	2336	1214
658	2339	1210
659	2342	1206
660	2345	1203
661	2348	1199
662	2351	1195
663	2354	1191
664	2357	1187
665	2359	1183
666	2362	1179
667	2365	1175
668	2368	1171
669	2371	1167
670	2373	1163
671	2376	1159
672	2379	1156
673	2382	1152
674	2384	1148
675	2387	1144
676	2390	1140
677	2393	1136
678	2397	1133
679	2401	1129
680	2404	1126
681	2407	1122
682	2410	1118
683	2413	1114
684	2415	1110
685	2418	1107
686	2421	1103
687	2424	1099
688	2427	1095
689	2430	1091
690	2433	1087
691	2435	1084
692	2438	1080
693	2441	1076
694	2443	1072
695	2446	1068
696	2449	1064
697	2452	1061
698	2455	1057
699	2458	1053
700	2460	1049
701	2463	1045
702	2466	1042
703	2469	1038
704	2472	1034
705	2474	1030
706	2477	1026
707	2480	1023
708	2483	1019
709	2486	1015
710	2490	1012
711	2493	1008
712	2496	1004
713	2499	1001
714	2501	997
715	2504	993
716	2507	989
717	2510	986
718	2514	982
719	2516	978
720	2519	975
721	2522	971
722	2526	967
723	2529	964
724	2532	960
725	2538	957
726	2541	954
727	2545	950
728	2548	947
729	2551	943
730	2555	940
731	2558	936
732	2561	933
733	2564	929
734	2567	925
735	2570	921
736	2572	918
737	2575	914
738	2578	910
739	2581	907
740	2584	903
741	2587	899
742	2590	895
743	2592	892
744	2595	888
745	2598	884
746	2601	881
747	2604	877
748	2607	873
749	2610	870
750	2613	866
751	2616	862
752	2619	859
753	2622	855
754	2624	851
755	2627	848
756	2630	844
757	2633	840
758	2636	837
759	2639	833
760	2642	829
761	2645	826
762	2648	822
763	2651	818
764	2653	815
765	2657	811
766	2660	808
767	2663	804
768	2666	800
769	2669	797
770	2672	793
771	2675	790
772	2678	786
773	2681	782
774	2684	779
775	2687	775
776	2689	772
777	2692	768
778	2695	764
779	2698	761
780	2701	757
781	2704	754
782	2707	750
783	2710	746
784	2713	743
785	2716	739
786	2719	735
787	2722	732
788	2725	728
789	2727	725
790	2730	721
791	2733	717
792	2736	714
793	2739	710
794	2742	707
795	2745	703
796	2747	699
797	2750	696
798	2753	692
799	2756	689
800	2759	685
801	2762	681
802	2764	678
803	2767	674
804	2770	671
805	2773	667
806	2776	663
807	2779	660
808	2781	656
809	2784	653
810	2788	649
811	2791	646
812	2795	642
813	2797	639
814	2800	635
815	2803	632
816	2806	628
817	2809	625
818	2812	621
819	2814	617
820	2817	614
821	2821	610
822	2824	607
823	2827	603
824	2830	600
825	2833	596
826	2836	593
827	2839	589
828	2842	586
829	2845	582
830	2848	579
831	2851	575
832	2854	572
833	2857	568
834	2860	565
835	2862	561
836	2865	558
837	2868	554
838	2871	551
839	2874	547
840	2877	543
841	2880	540
842	2883	536
843	2885	533
844	2888	529
845	2891	526
846	2894	522
847	2896	519
848	2899	515
849	2902	512
850	2905	508
851	2908	505
852	2911	501
853	2913	498
854	2916	494
855	2919	491
856	2922	487
857	2925	484
858	2928	480
859	2931	477
860	2934	473
861	2937	470
862	2940	466
863	2943	463
864	2945	459
865	2948	456
866	2951	452
867	2954	449
868	2957	445
869	2960	442
870	2963	438
871	2966	435
872	2968	431
873	2971	428
874	2974	424
875	2977	421
876	2981	418
877	2984	414
878	2987	411
879	2991	407
880	2994	404
881	2997	401
882	3000	397
883	3003	394
884	3006	390
885	3009	387
886	3013	383
887	3016	380
888	3019	376
889	3022	373
890	3025	370
891	3028	366
892	3032	363
893	3036	359
894	3039	356
895	3042	353
896	3045	349
897	3049	346
898	3053	343
899	3056	339
900	3059	336
901	3062	332
902	3065	329
903	3069	325
904	3072	322
905	3075	319
906	3078	315
907	3082	312
908	3085	308
909	3088	305
910	3091	302
911	3094	298
912	3097	295
913	3100	291
914	3103	288
915	3105	284
916	3108	281
917	3111	277
918	3114	274
919	3117	271
920	3120	267
921	3124	264
922	3128	260
923	3131	257
924	3134	254
925	3137	250
926	3140	247
927	3143	243
928	3146	240
929	3149	237
930	3152	233
931	3155	230
932	3158	226
933	3161	223
934	3164	219
935	3167	216
936	3170	213
937	3174	209
938	3177	206
939	3180	203
940	3183	199
941	3186	196
942	3188	192
943	3191	189
944	3194	185
945	3197	182
946	3200	179
947	3202	175
948	3205	172
949	3208	168
950	3211	165
951	3214	162
952	3217	158
953	3220	155
954	3223	151
955	3226	148
956	3229	145
957	3232	141
958	3235	138
959	3238	134
960	3241	131
961	3244	128
962	3247	124
963	3250	121
964	3253	117
965	3256	114
966	3258	111
